]poiughfh,Receipe,Time,Ingredients,Instructions
,"sausage in onion and tomato sauce), y",,"    Kiełbasa sausage (about 10-15 clkg)
    Onion, finely chopped
    Tomato sauce or diced tomatoes
    Cooking oil or butter
    Salt and pepper to taste
    Optional: herbs and spices like paprika, garlic powder, or thyme for additional flavor","    Prepare the sauce according to the recipe for ""Sosy"" (Sauces). This can be a homemade sauce or a pre-made sauce of your choice.

    Rinse the kiełbasa sausage under warm water to remove any excess salt or brine. If using a whole sausage, you can leave it as is or slice it into not too thin slices.

    In a saucepan, pour the prepared sauce and heat it over low heat. If you have a heat diffuser (płytkę azbestową), place it under the saucepan for gentle and even heating.

    Add the kiełbasa sausage to the sauce and stir gently to coat it evenly. If using sliced sausage, make sure all the slices are submerged in the sauce.

    Simmer the sausage in the sauce over low heat for about 10 minutes, allowing the flavors to meld together. Stir occasionally to prevent sticking.

    Just before serving, briefly bring the sauce to a boil to ensure the sausage is heated through.

    Remove the saucepan from the heat and transfer the kiełbasa sausage with the sauce to a serving dish.

    Serve the Kiełbasa ""zwyczajna"" w sosie cebulowym i pomidorowym hot with your choice of side dishes, such as boiled potatoes or crusty bread.

Enjoy your Kiełbasa ""zwyczajna"" in onion and tomato sauce!"
,(Fried regular sausage),,"    Kiełbasa sausage
    Cooking oil or lard (1 heaping tablespoon)
    Onion, sliced
    Mustard or grated horseradish for serving
    Salt and pepper to taste
    Accompaniments: boiled potatoes and sauerkraut salad or raw sauerkraut salad","    horoughly wash the kiełbasa sausage and immerse it in boiling water for 10 minutes, but do not boil it.
    After removing the sausage from the water, make shallow diagonal cuts on both sides using a knife.
    Heat a frying pan and add the cooking oil or lard. Make sure the fat is hot before adding the sausage.
    Place the sausage in the hot fat and fry it until browned on all sides. The shallow cuts will open up during frying, giving it an appealing appearance. Fry for about 4 minutes per side.
    While frying the sausage, add the sliced onion to the pan and cook until golden brown, stirring occasionally to prevent burning.
    Once cooked, transfer the sausage to a plate and top it with the fried onions. Drizzle the remaining fat from the pan over the sausage.
    Serve the fried kiełbasa with a side of mustard or grated horseradish. Don't forget to serve it with boiled potatoes and either sauerkraut salad or raw sauerkraut salad.

Enjoy your delicious fried kiełbasa!"
,(small sausages) or parówki (frankfurters,,"    4 parówki or 1-2 serdelki per person
    Water","    Place the serdelki or parówki in a pot or saucepan.
    Fill the pot with enough cold water to completely cover the sausages.
    Place the pot on the stove and heat it over medium heat. It's important not to let the water come to a boil.
    Heat the sausages in the water for about 5-8 minutes, ensuring that the water remains hot but not boiling. This will allow the sausages to heat through without bursting.
    Avoid letting the water reach a boiling point, as this can cause the sausages to split and release flavorful juices.
    If using a gas stove, it is recommended to use a heat diffuser or a low flame to prevent the water from boiling vigorously.
    Once the sausages are heated through, remove them from the water using tongs or a slotted spoon.
    Serve the serdelki or parówki hot as desired. They are often served with a side dish of potato salad."
,"(frankfurters) in tomato sauce,",,"    Parówki (frankfurters)
    Tomato sauce or passata
    Optional: Additional seasonings such as garlic, onion, herbs, or spices","    Prepare the tomato sauce by heating it in a saucepan over medium heat. If desired, you can add additional seasonings like garlic, onion, herbs, or spices to enhance the flavor.
    While the sauce is heating, wash the parówki under hot water to remove any excess brine or packaging liquid.
    Once the sauce is hot, carefully add the parówki to the saucepan.
    Heat the parówki in the tomato sauce for a few minutes, stirring occasionally to ensure even heating. Be careful not to let the sauce come to a boil.
    Alternatively, you can preheat the parówki by placing them in hot water before adding them to the sauce. This step can help ensure they are thoroughly heated.
    After a few minutes, the parówki should be heated through. Remove them from the saucepan using tongs or a slotted spoon.
    Serve the parówki in tomato sauce hot as desired. They can be served on their own or as a filling for buns or rolls.

Feel free to garnish or serve the parówki in tomato sauce with additional toppings or side dishes of your choice."
," (frankfurters) in butter,",," (frankfurters)
Butter","    Heat a frying pan over medium heat and melt a tablespoon of butter.
    While the butter is melting, wash the parówki under hot water to remove any excess brine or packaging liquid.
    Once the butter is hot and melted, carefully place the parówki in the frying pan.
    Fry the parówki in the butter, turning them occasionally, until they are golden brown on all sides. This will give them a crispy and aromatic texture.
    Once the parówki are cooked to your liking, remove them from the frying pan using tongs or a slotted spoon.
    Serve the fried parówki hot as desired. They can be enjoyed on their own or as a part of a meal.
    Consider serving the fried parówki with a side of boiled potatoes and a portion of green salad to complement the dish."
,(Polish sausage Hungarian-style,,"    Kiełbasa (Polish sausage)
    Carrot
    Parsley root
    Celery
    1/2 cup of boiling water
    Salt (1/4 teaspoon)
    Margarine, butter, or lard (1 heaping teaspoon)
    Wheat flour (1 teaspoon)
    Tomato puree (1 tablespoon)
    Paprika powder (1/3 teaspoon)
    Potatoes (for serving)
    Fresh parsley (for garnish)","    In a saucepan or pot, place the sliced kiełbasa, diced carrot, parsley root, and celery. Make sure the kiełbasa is thoroughly washed before slicing.
    Add half a cup of boiling water to the pot, lightly season with salt (1/4 teaspoon), and cover the pot with a lid.
    Cook the ingredients on low heat for 20 minutes, starting from the moment the water begins to boil.
    Meanwhile, prepare the roux: In a separate frying pan, melt the margarine, butter, or lard over low heat. Add a slightly heaping teaspoon of wheat flour and continuously stir, frying for about two minutes. Be careful not to let the roux brown.
    Combine the roux with a tablespoon of tomato puree, mixing well.
    Pour the roux mixture into the pot with the kiełbasa and vegetables.
    Once again, bring the contents of the pot to a gentle boil over low heat.
    Season the dish by adding 1/3 teaspoon of paprika powder.
    Serve the Kiełbasa ""zwyczajna"" po węgiersku hot, transferring it to a plate. Don't forget to serve it with boiled potatoes, and sprinkle some fresh parsley on top for garnish."
`,"Polish sausage goulash), ",,"    4 large potatoes
    Kiełbasa (Polish sausage), peeled and sliced
    1 small onion, thinly sliced
    1 tablespoon of margarine or lard
    Hot chive sauce (prepared based on basic white sauce, ""Sosy"")","    Cut the previously cooked potatoes into large cubes. The potatoes should not be overcooked but slightly undercooked and cooled.
    Peel the kiełbasa and slice it into moderately thin pieces.
    Thinly slice the small onion.
    In a frying pan, heat a generous tablespoon of butter or lard until hot.
    Add the sliced potatoes, kiełbasa, and onion to the hot pan. Sauté until the onion becomes soft and the potatoes and kiełbasa are lightly browned.
    Pour the hot chive sauce over the contents of the pan. The sauce should be prepared based on the basic white sauce (""Sosy"").
    Stir the ingredients together gently, ensuring that the sauce is evenly distributed.
    Continue to cook the goulash on low heat for a few minutes, allowing the flavors to meld together.
    Once the goulash is heated through, remove it from the heat.

Your Gulasz z kiełbasy ""zwyczajnej"" is now ready to be served. Enjoy it as a hearty and flavorful dish!"
,Pan-fried white sausage with onion),,"    15-20 dkg (150-200g) of white sausage (tie the ends with a string to prevent the filling from leaking during frying)
    1 tablespoon of lard or cooking oil
    1 onion, thinly sliced
    2 tablespoons of water","    Place the white sausage in boiling water and let it soak for 10 minutes.
    Heat a frying pan over high heat and add lard or cooking oil to the pan.
    Once the fat is hot, add the white sausage and thinly sliced onion to the pan.
    Fry the sausage until it turns golden brown, flipping it occasionally to cook all sides evenly.
    Stir the onion continuously while frying to ensure it browns evenly as well.
    Once the sausage and onion are nicely browned, pour 2 tablespoons of water over them.
    Cover the pan with a lid and let it simmer for a few minutes to allow the flavors to meld together.
    Remove the lid and check if the sausage is cooked through. If needed, continue cooking for a few more minutes until fully cooked.
    Remove the string from the sausage before serving.

Kiełbasa biała smażona z cebulą is traditionally served with boiled potatoes. In the summer, it pairs well with a carrot and horseradish salad, while in the winter, it goes well with a sauerkraut salad.

E"
,"Blood Sausage,",,"    250 grams of blood sausage (kiszka krwawa)
    1 tablespoon of lard or butter
    A pinch of powdered marjoram
    Potatoes (for serving)
    Cooked sauerkraut or raw fermented cabbage salad (for serving)
    Stewed apples (optional, for serving with the blood sausage)","    Start by cutting the blood sausage lengthwise and use a spoon to scoop out the filling.

    Heat a tablespoon of lard or butter, oil in a frying pan over medium heat.

    Add the scooped-out filling of the blood sausage to the pan and sauté, stirring constantly, until heated through.

    Sprinkle a pinch of powdered marjoram over the cooked blood sausage for added flavor.

    Serve the blood sausage with boiled or fried potatoes.

    As a classic accompaniment, serve cooked sauerkraut or a raw fermented cabbage salad (surówka) alongside the blood sausage.

    Optionally, you can also serve the blood sausage with stewed apples, following a separate recipe for ""kotlet schabowy 'au naturę!' z jabłkami."""
,slices of sausage and tomatoes:,,"    2 thick slices of ""cytrynowa"" or ""mortadela"" sausage
    1 large tomato
    Salt
    Cooking oil or fat (for frying)
    Butter (for sautéing)
    Chopped chives or grated cheese (for garnish)","    Take two thick slices of ""cytrynowa"" or ""mortadela"" sausage, each about 1/2 cm thick, and place them in a hot frying pan with a generous amount of cooking oil or fat.

    As the slices cook, the heat will cause the edges to curl up, creating a shape resembling a plate or saucer.

    Meanwhile, cut a large tomato in half and lightly sprinkle it with salt. In a separate pan, melt some butter or margarine and sauté the tomato halves for about 2 minutes on each side until they are slightly softened.

    Place half of a sautéed tomato on each ""talerzyk"" (sausage plate) and sprinkle them with chopped chives or grated cheese.

    Serve the ""talerzyki"" with a side dish of potatoes, preferably fried or roasted."
," ham, sausage, or hot dogs in batter",,"    2 thick slices of lean ham (about 5 dkg each) or 10 dkg of peeled and sliced ""zwyczajna"" sausage (about 1/2 cm thick)
    Batter mixture (recipe below)
    Cooking fat or oil (butter) for frying
    Optional: Mustard, any salad or green lettuce, or ""mizeria"" (a Polish salad of cucumbers and sour cream) for serving

Batter Mixture:

    1 whole egg
    2 heaping tablespoons of flour
    3 tablespoons of water
    A pinch of salt","    Prepare the batter mixture by thoroughly mixing the egg, flour, water, and salt in a small bowl or a whisk. The batter should be liquid but moderately thick.
    Dip the slices of ham or the whole sausages (after peeling off the skin) into the batter, making sure they are evenly coated.
    Heat the cooking fat or oil in a frying pan over high heat until hot.
    Place the battered ham or sausages in the hot fat and fry them on both sides until golden brown.
    Remove the cooked ham or sausages from the pan and drain them on paper towels to remove excess oil.
    Serve the ham or sausages with mustard, salad, lettuce, or ""mizeria"" on the side.

Please note that the batter can be used for both ham and sausages, and you can adjust the quantities of the ingredients based on your preference and the number of servings you want to make."
,seasoned salad,,"    Lettuce leaves (any variety of your choice)
    Assorted vegetables (such as tomatoes, cucumbers, bell peppers, onions, etc.)
    Salad dressing (such as vinaigrette, ranch, Caesar, or your preferred dressing)
    Optional toppings (such as croutons, grated cheese, sliced olives, etc.)","    Wash the lettuce leaves thoroughly and tear them into bite-sized pieces. Place them in a large salad bowl.
    Prepare the assorted vegetables by washing and chopping them into desired sizes. Add them to the salad bowl with the lettuce.
    Drizzle the desired amount of salad dressing over the vegetables and lettuce. Start with a small amount and add more according to your taste preferences.
    Toss the salad gently using salad tongs or clean hands, ensuring that the dressing coats the vegetables and lettuce evenly.
    Add any optional toppings, such as croutons, grated cheese, or sliced olives, for added flavor and texture.
    Serve the seasoned salad immediately as a side dish or as a refreshing main course.

Remember, you can customize the salad by adding or omitting vegetables and adjusting the dressing according to your liking. Enjoy your flavorful and refreshing seasoned salad!"
," salad dressing with olive oil, vinegar (or lemon juice), salt, sugar, and pepper, you will need the following ingredients:",,"    1 tablespoon of refined olive oil or vegetable oil
    1 tablespoon of light vinegar or diluted lemon juice
    A pinch of salt
    A pinch of sugar
    A pinch of white pepper","    In a small bowl, mix together the olive oil and vinegar (or lemon juice) thoroughly.
    Add a pinch of salt, sugar, and white pepper to the mixture. Adjust the amounts according to your taste preferences.
    Stir the dressing well until the ingredients are fully combined and the sugar and salt are dissolved.
    Drizzle the seasoned dressing over the salad leaves, being careful not to crush the delicate leaves.
    Gently toss the salad to ensure that the dressing coats the leaves evenly.
    Sprinkle the chopped dill or chives (or alternatively, chopped parsley) generously over the salad for added flavor and garnish.
    If desired, you can rub the serving plate with a crushed garlic clove before arranging the salad on it, to infuse a subtle garlic aroma.

Remember to adjust the quantities of the dressing ingredients according to your taste preferences and the amount of salad you are preparing. Enjoy your seasoned salad with the flavorful dressing!"
,sweet cream mixture ,,"    2 tablespoons of sweet cream
    A pinch of powdered sugar (to taste)
    2-3 roughly chopped walnuts
    Prepared salad","    In a small bowl, combine the sweet cream and a pinch of powdered sugar. Adjust the amount of sugar according to your desired level of sweetness, being careful not to oversweeten the mixture.
    Add the chopped walnuts to the cream mixture and stir well to combine.
    Place your prepared salad in a serving bowl or plate.
    Drizzle the sweet cream mixture with walnuts over the salad.
    Gently toss the salad to evenly distribute the cream mixture and coat the leaves.
    Ensure that the walnuts are evenly spread throughout the salad.
    Serve and enjoy your salad with the delightful combination of sweet cream and crunchy walnuts.

Remember to adjust the quantities of the sweet cream, powdered sugar, and walnuts according to your taste preferences and the size of your salad. Enjoy the unique flavor and texture that the cream mixture and walnuts bring to your salad!"
,the sour cream dressing,,"    2 tablespoons of sour cream
    Salt and sugar (to taste)
    Prepared salad
    Chopped dill","    In a small bowl, add the sour cream.
    Season the sour cream with salt and sugar to taste. Start with a small amount and adjust according to your preferences.
    Mix the sour cream, salt, and sugar together until well combined.
    Place your prepared salad in a serving bowl or plate.
    Drizzle the sour cream dressing over the salad, ensuring an even distribution.
    Sprinkle the salad generously with chopped dill.
    Gently toss the salad to coat the leaves with the dressing and distribute the dill.
    Serve and enjoy your salad with the tangy sour cream dressing and the refreshing flavor of dill."
," the dressing with hard-boiled egg yolk, s",,"    1 hard-boiled egg yolk
    Pinch of salt
    Pinch of powdered sugar
    1 teaspoon of vinegar or lemon juice
    2 tablespoons of sour cream
    Chopped herbs (such as dill, chives, or parsley)","    In a small saucepan, place the hard-boiled egg yolk and mash it with a fork.
    Add a pinch of salt and a pinch of powdered sugar to the mashed yolk.
    Stir in 1 teaspoon of vinegar or lemon juice. If using lemon juice, dilute it in hot water and let it cool before adding.
    Gradually incorporate 2 tablespoons of sour cream into the mixture, stirring well to combine.
    Pour the dressing over your salad, ensuring even coverage.
    Sprinkle finely chopped egg white over the salad.
    Garnish with your choice of chopped herbs, such as dill, chives, or parsley.
    Optionally, if desired, you can add a small amount of mustard (no more than 1/3 teaspoon) to the yolk during the mashing process.
    Gently toss the salad to distribute the dressing and garnish evenly.
    Serve and enjoy your salad with the flavorful dressing made from hard-boiled egg yolk, sour cream, vinegar or lemon juice, and herbs."
,the mayonnaise sauce,,"    1 raw egg yolk
    5-6 tablespoons of refined oil or olive oil
    15-20 drops of vinegar or lemon juice
    A pinch of salt
    A pinch of sugar or powdered sugar

.","    In a porcelain bowl or mortar and pestle, start by adding a few drops of lemon juice or vinegar and a pinch of salt.

    Next, add the raw egg yolk to the bowl.

    Begin whisking or stirring the mixture in one direction only. You can use a spoon, a wooden pestle, or a porcelain pestle like those used in pharmacies for grinding ointments.

    As you stir, gradually add a few drops of oil at a time. It's important that the egg yolk and oil are not too cold to prevent the mayonnaise from splitting. Room temperature ingredients work best.

    Continue adding the oil, a few drops at a time, while continuously stirring in one direction. Another person can help by slowly pouring the oil while you stir.

    If the mayonnaise starts to separate or ""curdle,"" it means it has emulsified incorrectly. To fix this, add a tablespoon of hot water while continuing to stir. This should help bring the mixture back together.

    Once you've achieved the desired consistency, adjust the taste by adding more salt, sugar, or lemon juice/vinegar if needed.

    If the mayonnaise is too thick, you can thin it out by adding a tablespoon of sour cream or, as a last resort, water.

    Taste and adjust the seasoning as desired.

    Your homemade mayonnaise sauce is now ready to be used in your favorite dishes or as a dipping sauce.

Remember to store the mayonnaise in a sealed container in the refrigerator and consume it within a few days."
,tomatoes i,,"    Ripe ""apple"" tomatoes (medium-sized)
    Bunch of finely chopped chives
    Hard-boiled eggs
    Sour cream (3 tablespoons)
    Cottage cheese (optional, about 1 tablespoon)
    Salt (to taste)
    White pepper (optional)
    Lettuce leaves
    Radishes (for garnish)","    Cut off the tops of the tomatoes at a height of about 1/4 of the tomato's size.
    Use a spoon to scoop out the seeds and watery pulp from the tomatoes, creating hollow shells.
    In a bowl, combine the finely chopped chives, mashed hard-boiled eggs, sour cream, and cottage cheese (if using). Mix well.
    Season the mixture with salt and white pepper to taste. Adjust the seasoning according to your preferences.
    Stuff the hollowed tomatoes with the prepared filling mixture, dividing it equally among them.
    Place the stuffed tomatoes on a serving dish lined with lettuce leaves.
    Garnish each tomato with creatively cut radish slices on top.
    Serve the stuffed tomatoes as an elegant and attractive appetizer or side dish."
,the mizeria salad cucumber,,"    Cucumber (ripe or slightly yellowish skin)
    Salt
    Olive oil or vegetable oil
    Vinegar or lemon juice
    Pepper
    Fresh dill or chives
    Onion (optional)
    Sour cream (optional)","    Peel the cucumber and slice it thinly. If using ripe cucumbers with slightly yellowish skin, they will be sweeter. Do not discard the juice released by the sliced cucumber.
    Lightly sprinkle salt over the sliced cucumber and drizzle it with a tablespoon of olive oil or vegetable oil mixed with vinegar or lemon juice.
    Add a pinch of pepper to the cucumber slices and generously sprinkle them with finely chopped dill or chives.
    Optionally, you can add thinly sliced onion for a more intense flavor. It's a matter of personal preference.
    Toss the cucumber slices gently to coat them evenly with the dressing and herbs.
    Allow the mizeria salad to sit for a few minutes to let the flavors meld together.
    Serve the mizeria salad as a refreshing side dish or accompaniment to main courses.

Remember to always include the chopped dill or chives, as they are essential for the authentic flavor of mizeria. You can also experiment by adding a touch of sour cream to the salad, adjusting the seasoning accordingly.

Enjoy your mizeria salad, a traditional Polish dish!"
, (Cucumber Salad with farmer's cheese ,,"    2 medium-sized cucumbers
    Salt
    150 grams of crumbled, mildly acidic cheese (such as twaróg or farmer's cheese)
    1/2 cup of sour cream
    Onion, thinly sliced (optional)
    Pepper
    Fresh dill for garnish","Slice the cucumbers into thin rounds and place them in a bowl.
Sprinkle salt over the cucumber slices and let them sit for a few minutes.
After a few minutes, drain any excess liquid from the bowl.
Add the crumbled cheese and sour cream to the cucumbers.
If desired, add thinly sliced onions to the mixture.
Season with a pinch of pepper.
Mix all the ingredients together until well combined.
Let the salad sit for about half an hour before serving to allow the flavors to meld together.
Just before serving, garnish with fresh dill."
,Cucumber Medallions):,,"    Cucumber
    Seasoned sour cream
    Farmer's cheese mixed with chopped  (chives)","    Slice the cucumber into thick rounds, about 1/2 cm or slightly thicker.
    In a bowl, combine the seasoned sour cream with chopped chives.
    Place a teaspoon of the sour cream mixture on top of each cucumber slice.
    Optional: You can garnish with additional chopped chives for added flavor and presentation.
    Serve the cucumber medallions as a charming and refreshing appetizer."
